label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
bacterial lysate,88,bacterial cells,0.7741935483870968,Biospecimen Type,True,True,False
experiment year_month,86,experiment group,0.7027027027027027,Treatment,True,False,False
virus type,86,serum type,0.7,Biospecimen Type,True,False,False
clinical type,85,clinical stage,0.8148148148148148,Biospecimen Age,True,True,True
culture method,84,culture time,0.7692307692307693,Biospecimen Age,True,True,False
dissection,84,disease location,0.7692307692307693,Biospecimen Disease Condition,True,True,False
responder,84,responder cells,0.75,Biospecimen Type,True,True,False
infectious challenge,82,infectious agent,0.7777777777777778,Biospecimen Age,True,True,False
experiment label,82,experimental day,0.75,Biospecimen Age,True,True,False
viral status,82,viral strain,0.75,Biospecimen Organism,True,True,False
pool no,81,pool id,0.7142857142857143,External_sample_id,True,False,False
simulation,80,cell stimulation,0.7692307692307693,Biospecimen Type,True,True,False
subclass,80,tissue class,0.7,Biospecimen Type,True,False,False
folder name,79,slide name,0.7619047619047619,External_sample_id,True,True,False
karyotype,77,cell karyotype,0.782608695652174,Biospecimen Type,True,True,False
surgery type,76,serum type,0.7272727272727273,Biospecimen Type,True,False,False
ClinicalInformation,75,clinical condition,0.7027027027027027,Biospecimen Disease Condition,True,False,False
clinical outcome,74,clinical stage,0.7333333333333333,Biospecimen Age,True,False,False
radiation,74,duration,0.7058823529411765,Treatment Dosage Regimen,True,False,False
injection site,73,infection state,0.8275862068965517,Biospecimen Disease Condition,True,True,True
injected virus,73,injected cells,0.7142857142857143,Biospecimen Type,True,False,False
clinical indication,72,clinical condition,0.8648648648648649,Biospecimen Disease Condition,True,True,True
experimental status,72,experimental day,0.8,Biospecimen Age,True,True,True
sort population,72,sample population,0.75,External_sample_id,True,True,False
variant type,72,vaccine type,0.75,Treatment,True,True,False
metastasis site,72,metastatic tumor site,0.7222222222222222,Biospecimen Disease Condition,True,False,False
parental origin,70,parental strain,0.8,Biospecimen Organism,True,True,True
Degree of differentiation,69,stage of differentiation,0.8571428571428571,Biospecimen Age,True,True,True
compartment,69,cell compartment,0.8148148148148148,Biospecimen Type,True,True,True
Genetic background,69,cell line background,0.7368421052631579,Biospecimen Type,True,False,False
Histological type,69,biological sex,0.7096774193548387,Biospecimen Sex,True,False,False
structure,67,tissue structure,0.72,Biospecimen Type,True,False,False
vs type,67,serum type,0.7058823529411765,Biospecimen Type,True,False,False
size,66,side,0.75,External_sample_id,True,True,False
derivation,65,duration,0.7777777777777778,Treatment Dosage Regimen,True,True,False
roi type,64,organoid type,0.7619047619047619,External_sample_id,True,True,False
infiltration,64,induration,0.7272727272727273,Treatment Dosage Regimen,True,False,False
library_batch,64,library barcode,0.7142857142857143,External_sample_id,True,False,False
cytology,64,pathology,0.7058823529411765,Biospecimen Disease Condition,True,False,False
clinical trial phase,64,clinical stage,0.7058823529411765,Biospecimen Age,True,False,False
number of_mice,62,number of_samples,0.7741935483870968,External_sample_id,True,True,False
carbon source,62,control source,0.7407407407407407,Treatment,True,False,False
clinical presentation,61,clinical condition,0.717948717948718,Biospecimen Disease Condition,True,False,False
Subsets,60,subjects,0.8,External_sample_id,True,True,True
Case,60,cage,0.75,Biospecimen Age,True,True,False
replicates,58,replicate id,0.8181818181818182,External_sample_id,True,True,True
library input,58,library id,0.782608695652174,External_sample_id,True,True,False
location of lesion,58,location of tumors,0.7222222222222222,Biospecimen Disease Condition,True,False,False
subtypes,58,cell subtype,0.7,Biospecimen Type,True,False,False
sampling site,57,sampling time,0.8461538461538461,Biospecimen Age,True,True,True
induction,57,induration,0.8421052631578947,Treatment Dosage Regimen,True,True,True
experimental set,57,experimental day,0.8125,Biospecimen Age,True,True,True
lesion status,57,infection status,0.7586206896551724,Biospecimen Disease Condition,True,True,False
culture platform,57,culture time,0.7142857142857143,Biospecimen Age,True,False,False
modifications,57,chemical modification,0.7058823529411765,Treatment,True,False,False
fever,56,fever day,0.7142857142857143,Biospecimen Age,True,False,False
commercial source,56,cell source,0.7142857142857143,Biospecimen Type,True,False,False
Differentiation Method,55,differentiation time,0.8571428571428571,Biospecimen Age,True,True,True
parental line,55,parental cell line,0.8387096774193549,Biospecimen Type,True,True,True
growth pattern,55,growth time,0.72,Biospecimen Age,True,False,False
clinic status,54,cancer status,0.7692307692307693,Biospecimen Disease Condition,True,True,False
library version,54,library id,0.72,External_sample_id,True,False,False
perturbation,54,duration,0.7,Treatment Dosage Regimen,True,False,False
FISH origin,53,tissue origin,0.75,Biospecimen Type,True,True,False
Genotype,52,host genotype,0.7619047619047619,Biospecimen Organism,True,True,False
route administered,52,vaccine administered,0.7368421052631579,Treatment,True,False,False
isolation method,52,isolation stage,0.7096774193548387,Biospecimen Age,True,False,False
clinical_history,51,clinical.diagnosis.history,0.7142857142857143,Biospecimen Disease Condition,True,False,False
lymph node,51,lymphocyte,0.7,Biospecimen Type,True,False,False
metastatic site,50,metastatic tumor site,0.8333333333333334,Biospecimen Disease Condition,True,True,True
health_status,50,donor_health_status,0.8125,External_sample_id,True,True,True
study number,50,study sample number,0.7741935483870968,External_sample_id,True,True,False
bar code,49,barcode,0.9333333333333333,External_sample_id,True,True,True
mutations,49,duration,0.7058823529411765,Treatment Dosage Regimen,True,False,False
hours_post_infection,48,hours post infection,0.9,Biospecimen Disease Condition,True,True,True
experiment batch,48,experimental day,0.75,Biospecimen Age,True,True,False
onset site,48,onset age,0.7368421052631579,Biospecimen Age,True,False,False
isolation,47,isolation stage,0.75,Biospecimen Age,True,True,False
relapse,47,relapse time,0.7368421052631579,Biospecimen Age,True,False,False
graft source,47,gender source,0.72,Biospecimen Sex,True,False,False
surface marker,46,cell surface marker,0.8484848484848485,Biospecimen Type,True,True,True
person,46,person id,0.8,External_sample_id,True,True,True
inoculation,45,inoculation dose,0.8148148148148148,Treatment Dosage Regimen,True,True,True
