Gene,Disease,disease_name
p4hb,ORPHA:216796,Orphanet: Osteogenesis imperfecta type 1
sox18,ORPHA:69735,Orphanet: Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome
gpc3,ORPHA:654,Orphanet: Nephroblastoma
map2k1,ORPHA:1340,Orphanet: Cardiofaciocutaneous syndrome
itk,ORPHA:538963,Orphanet: Combined immunodeficiency due to ITK deficiency
btk,ORPHA:632,Orphanet: Short stature due to isolated growth hormone deficiency with X-linked hypogammaglobulinemia
rela,ORPHA:251636,Orphanet: Ependymoma
ppm1d,ORPHA:653767,Orphanet: Jansen-de Vries syndrome
tpi1,ORPHA:868,Orphanet: Triose phosphate-isomerase deficiency
slc34a2,ORPHA:60025,Orphanet: Pulmonary alveolar microlithiasis
ikzf1,ORPHA:317473,Orphanet: Pancytopenia due to IKZF1 mutations
hamp,ORPHA:79230,Orphanet: HJV or HAMP-related hemochromatosis
ptprc,ORPHA:169157,Orphanet: T-B+ severe combined immunodeficiency due to CD45 deficiency
kcnq3,ORPHA:1949,Orphanet: Benign familial neonatal epilepsy
ccnd1,ORPHA:29073,Orphanet: Multiple myeloma
eef2,ORPHA:101112,Orphanet: Spinocerebellar ataxia type 26
ctrc,ORPHA:103918,Orphanet: Tropical pancreatitis
dvl3,ORPHA:3107,Orphanet: Autosomal dominant Robinow syndrome
drd2,ORPHA:36899,Orphanet: Myoclonus-dystonia syndrome
wnt3,ORPHA:3301,Orphanet: Tetraamelia-multiple malformations syndrome
erg,ORPHA:370334,Orphanet: Extraskeletal Ewing sarcoma
tbx5,ORPHA:101016,Orphanet: Romano-Ward syndrome
vrk1,ORPHA:2254,Orphanet: Pontocerebellar hypoplasia type 1
hlf,ORPHA:641375,Orphanet: B-lymphoblastic leukemia/lymphoma with t(17;19)
hpgd,ORPHA:217059,Orphanet: Isolated congenital digital clubbing
pygm,ORPHA:368,Orphanet: Glycogen storage disease due to muscle glycogen phosphorylase deficiency
lrp1,ORPHA:79100,Orphanet: Atrophoderma vermiculata
f13b,ORPHA:331,Orphanet: Congenital factor XIII deficiency
slc17a5,ORPHA:309324,"Orphanet: Free sialic acid storage disease, infantile form"
ezh2,ORPHA:3447,Orphanet: Weaver syndrome
pip5k1c,ORPHA:137783,Orphanet: Lethal congenital contracture syndrome type 3
htra1,ORPHA:252128,Orphanet: Malignant peripheral nerve sheath tumor with perineurial differentiation
lonp1,ORPHA:79243,Orphanet: Pyruvate dehydrogenase E1-alpha deficiency
gba1,ORPHA:2072,Orphanet: Gaucher disease-ophthalmoplegia-cardiovascular calcification syndrome
gba2,ORPHA:320391,Orphanet: Autosomal recessive spastic paraplegia type 46
slc40a1,ORPHA:648562,Orphanet: Ferroportin disease
kars1,ORPHA:254334,Orphanet: Autosomal recessive intermediate Charcot-Marie-Tooth disease type B
sqstm1,ORPHA:603,"Orphanet: Distal myopathy, Welander type"
katnb1,ORPHA:89844,"Orphanet: Lissencephaly syndrome, Norman-Roberts type"
fgf14,ORPHA:98764,Orphanet: Spinocerebellar ataxia type 27
fgfr3,ORPHA:85165,Orphanet: Severe achondroplasia-developmental delay-acanthosis nigricans syndrome
axin1,ORPHA:210159,Orphanet: Adult hepatocellular carcinoma
gucy1a1,ORPHA:401945,Orphanet: Moyamoya disease with early-onset achalasia
smn1,ORPHA:83330,Orphanet: Proximal spinal muscular atrophy type 1
tab2,ORPHA:228410,Orphanet: Cardiac anomalies-short stature-joint hypermobility-facial dysmorphism syndrome
pts,ORPHA:13,Orphanet: 6-pyruvoyl-tetrahydropterin synthase deficiency
calcrl,ORPHA:363999,Orphanet: Non-immune hydrops fetalis
g6pc1,ORPHA:79258,Orphanet: Glycogen storage disease due to glucose-6-phosphatase deficiency type Ia
ca5a,ORPHA:401948,Orphanet: Hyperammonemic encephalopathy due to carbonic anhydrase VA deficiency
xdh,ORPHA:93601,Orphanet: Xanthinuria type I
ror2,ORPHA:1507,Orphanet: Autosomal recessive Robinow syndrome
mt-co1,ORPHA:550,Orphanet: MELAS
hsd3b2,ORPHA:90791,Orphanet: Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency
hexa,ORPHA:309185,"Orphanet: Tay-Sachs disease, juvenile form"
kcnj3,ORPHA:334,Orphanet: Familial atrial fibrillation
dnmbp,ORPHA:98994,Orphanet: Total early-onset cataract
cybb,ORPHA:319623,Orphanet: X-linked mendelian susceptibility to mycobacterial diseases due to CYBB deficiency
ppp1r15b,ORPHA:391408,Orphanet: Primary microcephaly-mild intellectual disability-young-onset diabetes syndrome
hdac4,ORPHA:1001,Orphanet: 2q37 microdeletion syndrome
ptpn3,ORPHA:70567,Orphanet: Cholangiocarcinoma
tbk1,ORPHA:1930,Orphanet: Herpes simplex virus encephalitis
comt,ORPHA:567,Orphanet: 22q11.2 deletion syndrome
pde2a,ORPHA:31709,Orphanet: Infantile convulsions and choreoathetosis
catsper1,ORPHA:276234,Orphanet: Non-syndromic male infertility due to sperm motility disorder
rpn1,ORPHA:402020,Orphanet: Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2)
slc25a20,ORPHA:159,Orphanet: Carnitine-acylcarnitine translocase deficiency
odc1,ORPHA:544488,Orphanet: Global developmental delay-alopecia-macrocephaly-facial dysmorphism-structural brain anomalies syndrome
rbp4,ORPHA:352718,Orphanet: Progressive retinal dystrophy due to retinol transport defect
erbb3,ORPHA:137776,Orphanet: Lethal congenital contracture syndrome type 2
