Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
3.02E-13,41,2427,3.827081472,GO:0048584 positive regulation of response to stimulus , http://amigo.geneontology.org/amigo/term/GO:0048584, FKBP1A  TNKS2  TEK  SMO  CSNK1G2  GPR55  IGF1R  CSNK1D  ERBB2  SYK  INSR  LCK  NTRK1  JAK2  AURKB  BTK  SIRT1  LGMN  PIK3CG  F10  BRD4  EGFR  THRB  BRAF  PLA2G2A  MAPK9  ABL1  MMP8  NPY5R  GRM5  PTAFR  ALK  JUN  TBK1  MTOR  MMP12  PIK3CD  MMP9  TAOK3  TGM2  TTK
5.64E-13,23,654,7.96716323,GO:0071417 cellular response to organonitrogen compound , http://amigo.geneontology.org/amigo/term/GO:0071417, JAK2  DRD1  SIRT1  LGMN  INSR  MTOR  TGM2  CFTR  PIK3CG  GNRHR  CDK4  IGF1R  CCNA2  SRD5A1  EGFR  CAPN2  CDK5  GRM5  PTAFR  ALK  JUN  SLC8A1  ABL1
6.35E-13,34,1660,4.640069188,GO:0009719 response to endogenous stimulus , http://amigo.geneontology.org/amigo/term/GO:0009719, JAK2  SLC2A1  RAMP1  THRB  DRD1  NTRK1  FKBP1A  SIRT1  LGMN  CCND1  INSR  JUN  MTOR  TGM2  CFTR  ABL1  PIK3CG  GNRHR  CDK4  IGF1R  CSNK1D  CCNA2  SRD5A1  EGFR  CAPN2  CDK5  SYK  GRM5  PTAFR  ALK  SLC8A1  SSTR3  CTSL  ERBB2
8.23E-13,28,1078,5.884274142,GO:1902533 positive regulation of intracellular signal transduction , http://amigo.geneontology.org/amigo/term/GO:1902533, FKBP1A  TEK  GPR55  IGF1R  ERBB2  INSR  NTRK1  AURKB  PIK3CG  F10  BRD4  EGFR  BRAF  PLA2G2A  SIRT1  JAK2  ABL1  MMP8  NPY5R  SYK  GRM5  ALK  JUN  TBK1  PIK3CD  TAOK3  LCK  TGM2
8.47E-13,21,528,9.010294779,GO:0033674 positive regulation of kinase activity , http://amigo.geneontology.org/amigo/term/GO:0033674, TEK  IGF1R  ERBB2  EGFR  ALK  INSR  CDK5R1  NTRK1  ABL1  PIK3CG  CCND1  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  TAOK3  MTOR
1.20E-12,35,1810,4.380695804,GO:0010941 regulation of cell death , http://amigo.geneontology.org/amigo/term/GO:0010941, JAK2  ABL1  EGFR  MTOR  SIRT1  IGF1R  BRAF  CDK5  CDK1  RPS6KA3  AURKB  TGM2  MAPK9  AURKA  MMP9  PIK3CG  CCND1  SMO  CAPN2  NPY5R  BDKRB2  CDK5R1  JUN  GABRA5  NTRK1  LGMN  SYK  PIK3CD  LCK  TEK  RORC  MMP3  TBK1  BTK  ALK
1.35E-12,20,476,9.518678759,GO:0044772 mitotic cell cycle phase transition , http://amigo.geneontology.org/amigo/term/GO:0044772, CDC25B  CCND1  TTK  CDK2  CCNB1  CCNA2  CCNB3  CCNB2  CDC25C  CDK5  CDK1  CDK4  AURKB  ABCB1  CCNH  TAOK3  BRD4  EGFR  AURKA  WEE1
1.74E-12,35,1835,4.3210133,GO:0042127 regulation of cell population proliferation , http://amigo.geneontology.org/amigo/term/GO:0042127, CDK2  ERBB2  EGFR  SYK  ALK  JUN  JAK2  INSR  CCKBR  NTRK1  MMP12  BTK  CALCRL  ABL1  CCND1  SMO  CCNB1  CDK4  IGF1R  CCNA2  BRAF  NPY5R  PTAFR  CDK1  MAPK11  SSTR3  PIK3CD  SIRT1  LGMN  MMP9  CAPN1  CDC25B  TTK  TEK  CAPNS1
1.85E-12,31,1409,4.984301766,GO:0071495 cellular response to endogenous stimulus , http://amigo.geneontology.org/amigo/term/GO:0071495, JAK2  RAMP1  THRB  DRD1  NTRK1  FKBP1A  SIRT1  LGMN  INSR  JUN  MTOR  TGM2  CFTR  ABL1  PIK3CG  GNRHR  CDK4  IGF1R  CSNK1D  CCNA2  SRD5A1  EGFR  CAPN2  CDK5  GRM5  PTAFR  ALK  SLC8A1  SSTR3  CTSL  ERBB2
1.85E-12,22,622,8.0128299,GO:0051347 positive regulation of transferase activity , http://amigo.geneontology.org/amigo/term/GO:0051347, TEK  IGF1R  ERBB2  EGFR  ALK  INSR  CDK5R1  NTRK1  ABL1  PIK3CG  CCND1  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  TAOK3  AURKB  MTOR
