shared_gene,phenotype,concurrency_phenotype,concurrency_gene,Total_concurrency
['KMT2C'],"['Tapered finger', 'Language impairment', 'Uplifted earlobe', 'Generalized hypotonia', 'Motor delay', 'Seizure', 'Seizure', 'Hypotonia', 'Hypotonia', 'Intellectual disability', 'Intellectual disability', 'Global developmental delay', 'Global developmental delay', 'Brain imaging abnormality', 'Abnormal cerebral white matter morphology', 'Abnormality of the kidney', 'Typically de novo', 'Vesicoureteral reflux', 'Abnormality of the genital system', 'Inguinal hernia', 'Plagiocephaly', 'Plagiocephaly', 'Autosomal dominant inheritance', 'Scoliosis', 'Cerebellar hypoplasia', 'Thick lower lip vermilion', 'Bifid uvula', 'Abnormality of the dentition', 'Tracheomalacia', 'Recurrent infections', 'Anal atresia', 'Gastroesophageal reflux', 'Midface retrusion', 'Midface retrusion', 'Hypoplasia of the corpus callosum', 'Abnormality of the musculoskeletal system', 'Ventriculomegaly', 'Delayed gross motor development', 'Gliosis', 'Self-injurious behavior', 'Self-injurious behavior', 'Abnormal shape of the palpebral fissure', 'Severe expressive language delay', 'Moderate receptive language delay', 'Natal tooth', 'Abnormal facial shape', 'Abnormal facial shape', 'Short stature', 'Delayed speech and language development', 'Delayed speech and language development', 'Autistic behavior', 'Autistic behavior', 'Atypical behavior', 'Precocious puberty', 'Hyperextensible skin', 'Kyphosis', 'Microcephaly', 'Microcephaly', 'Brachycephaly', 'Overgrowth', 'Everted lower lip vermilion', 'Umbilical hernia', 'Failure to thrive', 'Large for gestational age', 'Growth delay', 'Hearing impairment', 'Abnormal heart morphology', 'Developmental cataract', 'Thick eyebrow', 'Hypermetropia']",5,0,5
['T2R53'],[],0,0,0
['Synonyms=DDX36'],[],0,0,0
['XAP3'],[],0,0,0
['2.3.1.258'],[],0,0,0
['RDH15'],[],0,0,0
['IBP-2'],[],0,0,0
['HMG2'],[],0,0,0
['GPR88'],"['Poor speech', 'Abnormal head movements', 'Intellectual disability', 'Global developmental delay', 'Autosomal recessive inheritance', 'Chorea', 'Involuntary movements']",6,0,6
['TLX'],[],0,0,0
['Concentrative nucleoside transporter 2'],[],0,0,0
['Serine/threonine-protein kinase Chk2'],[],0,0,0
['Ste-20-related kinase'],[],0,0,0
['HERV-7q Envelope protein'],[],0,0,0
['PHM'],[],0,0,0
['Fructose transporter'],[],0,0,0
['2.7.11.31'],[],0,0,0
['Na(+)/H(+) exchanger 1'],[],0,0,0
['Transaminase A'],[],0,0,0
['Glycine receptor subunit alpha-3'],[],0,0,0
['CMKBR4'],[],0,0,0
