Omics_type,Sequencing_type,Sequencing_library,Omics_type_norm,Assay_type_norm,Sequencing_library_norm,Annotation
[],"['', 'ATAC-seq', 'Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['', 'ATAC-seq']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['', 'Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,Bisulfite-seq,,"indicated by ""bisulfite-seq"""
[],"['', 'Bisulfite-Seq']","['genomic DNA', 'total RNA']",Epigenomics,Bisulfite-seq,,"indicated by ""bisulfite-seq"""
[],"['', 'Bisulfite-Seq']",genomic DNA,Epigenomics,Bisulfite-seq,,"indicated by ""bisulfite-seq"""
[],"['', 'ChIP-Seq', 'DNase-Hypersensitivity', 'OTHER']",genomic DNA,Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'DNase-Hypersensitivity', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'DNase-Hypersensitivity']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'FAIRE-seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'OTHER']","['genomic DNA', 'protein']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'ChIP-Seq']",genomic DNA,Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],"['', 'DNase-Hypersensitivity']","['genomic DNA', 'total RNA']",Epigenomics,DNase-Hypersensitivity,,
[],"['', 'MeDIP-Seq']","['genomic DNA', 'total RNA']",Epigenomics,MeDIP-Seq,,
[],"['', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Genomics,RNA-Seq,,
[],"['', 'OTHER']","['protein', 'total RNA']",Transcriptomics,RNA-Seq,,
[],"['', 'OTHER']",genomic DNA,Genomics,Other,,
[],"['', 'OTHER']",total RNA,Transcriptomics,RNA-Seq,,
[],"['', 'RNA-Seq', 'miRNA-Seq']","['genomic DNA', 'total RNA']",Genomics,RNA-Seq,,
[],"['', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Genomics,RNA-Seq,,
[],"['', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Genomics,RNA-Seq,,
[],"['', 'RNA-Seq']","['genomic DNA', 'total RNA']",Genomics,RNA-Seq,,
[],"['', 'RNA-Seq']","['other', 'total RNA']",Transcriptomics,RNA-Seq,,
[],"['', 'RNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
[],"['', 'RNA-Seq']","['protein', 'total RNA']",Transcriptomics,RNA-Seq,,
[],"['', 'RNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
[],"['', 'miRNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
[],"['', 'ncRNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
[],"['ATAC-seq', 'Bisulfite-Seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'Bisulfite-Seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'Bisulfite-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'Bisulfite-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'Bisulfite-Seq', 'RNA-Seq']",polyA RNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'Hi-C', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'Hi-C', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'Hi-C']",genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'MeDIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],"['ATAC-seq', 'ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']",Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
