Omics_type,Sequencing_type,Sequencing_library
[],"['OTHER', 'ssRNA-seq']","['polyA RNA', 'total RNA']"
[],"['RIP-Seq', 'RNA-Seq', 'ncRNA-Seq']",total RNA
[],"['RIP-Seq', 'RNA-Seq']","['other', 'total RNA']"
[],"['RIP-Seq', 'RNA-Seq']","['polyA RNA', 'total RNA']"
[],"['RIP-Seq', 'RNA-Seq']",polyA RNA
[],"['RIP-Seq', 'RNA-Seq']",total RNA
[],"['RIP-Seq', 'ncRNA-Seq']",total RNA
[],"['RNA-Seq', 'miRNA-Seq']","['other', 'polyA RNA', 'total RNA']"
[],"['RNA-Seq', 'miRNA-Seq']","['polyA RNA', 'total RNA']"
[],"['RNA-Seq', 'miRNA-Seq']",total RNA
[],"['RNA-Seq', 'ncRNA-Seq']","['polyA RNA', 'total RNA']"
[],"['RNA-Seq', 'ncRNA-Seq']",total RNA
[],"['RNA-Seq', 'ssRNA-seq']","['polyA RNA', 'total RNA']"
[],[],[]
[],ncRNA-Seq,total RNA
[],ssRNA-seq,total RNA
[],,"['genomic DNA', 'polyA RNA', 'total RNA']"
[],,"['genomic DNA', 'total RNA']"
[],,"['other', 'protein']"
[],,"['other', 'total RNA']"
[],,genomic DNA
[],,other
[],,polyA RNA
[],,protein
[],,total RNA
