,SID,Source Name,Registry Identifier,CID
310,53787050,Comparative Toxicogenomics Database (CTD),C439264,
311,53787051,Comparative Toxicogenomics Database (CTD),C040349,11966124
312,53787052,Comparative Toxicogenomics Database (CTD),C467566,134780
313,53787053,Comparative Toxicogenomics Database (CTD),C017690,3347
314,53787054,Comparative Toxicogenomics Database (CTD),D003609,457193
315,53787055,Comparative Toxicogenomics Database (CTD),D004040,
316,53787056,Comparative Toxicogenomics Database (CTD),D004004,5894
317,53787057,Comparative Toxicogenomics Database (CTD),C058176,4549
318,53787058,Comparative Toxicogenomics Database (CTD),C466800,9918279
319,53787059,Comparative Toxicogenomics Database (CTD),C479119,
320,53787060,Comparative Toxicogenomics Database (CTD),D010889,4843
321,53787061,Comparative Toxicogenomics Database (CTD),D020926,68602
322,53787062,Comparative Toxicogenomics Database (CTD),C046538,5283334
323,53787063,Comparative Toxicogenomics Database (CTD),C017967,5681
324,53787064,Comparative Toxicogenomics Database (CTD),C033363,71312131
325,53787065,Comparative Toxicogenomics Database (CTD),C033560,135413497
326,53787066,Comparative Toxicogenomics Database (CTD),D022562,
327,53787067,Comparative Toxicogenomics Database (CTD),C520125,13003
328,53787068,Comparative Toxicogenomics Database (CTD),C111332,216416
329,53787069,Comparative Toxicogenomics Database (CTD),C438583,9574343
330,53787070,Comparative Toxicogenomics Database (CTD),C412715,2762680
331,53787071,Comparative Toxicogenomics Database (CTD),C028610,10251
332,53787072,Comparative Toxicogenomics Database (CTD),D005707,370
333,53787073,Comparative Toxicogenomics Database (CTD),C011272,38347
334,53787074,Comparative Toxicogenomics Database (CTD),D017985,772
335,53787075,Comparative Toxicogenomics Database (CTD),D017965,5280933
336,53787076,Comparative Toxicogenomics Database (CTD),D017279,6326983
337,53787077,Comparative Toxicogenomics Database (CTD),C023622,7242
338,53787078,Comparative Toxicogenomics Database (CTD),D005054,3314
339,53787079,Comparative Toxicogenomics Database (CTD),D011070,137229713
340,53787080,Comparative Toxicogenomics Database (CTD),C082359,86287518
341,53787081,Comparative Toxicogenomics Database (CTD),C059571,122228
342,53787082,Comparative Toxicogenomics Database (CTD),D005620,352938
343,53787083,Comparative Toxicogenomics Database (CTD),C035318,854389
344,53787084,Comparative Toxicogenomics Database (CTD),D017706,5362119
345,53787085,Comparative Toxicogenomics Database (CTD),C011126,65552
346,53787086,Comparative Toxicogenomics Database (CTD),C023514,11813
347,53787087,Comparative Toxicogenomics Database (CTD),D016685,5746
348,53787088,Comparative Toxicogenomics Database (CTD),D010894,54676228
349,53787089,Comparative Toxicogenomics Database (CTD),D010833,890
350,53787090,Comparative Toxicogenomics Database (CTD),D015029,2999413
351,53787091,Comparative Toxicogenomics Database (CTD),C108036,116545
352,53787092,Comparative Toxicogenomics Database (CTD),D010656,6041
353,53787093,Comparative Toxicogenomics Database (CTD),C034516,
354,53787094,Comparative Toxicogenomics Database (CTD),D016627,4624
355,53787095,Comparative Toxicogenomics Database (CTD),C017296,3001028
356,53787096,Comparative Toxicogenomics Database (CTD),D004391,6468
357,53787097,Comparative Toxicogenomics Database (CTD),C016276,135419186
358,53787098,Comparative Toxicogenomics Database (CTD),C426703,
359,53787099,Comparative Toxicogenomics Database (CTD),C022961,442292
360,53787100,Comparative Toxicogenomics Database (CTD),C005227,11167
361,53787101,Comparative Toxicogenomics Database (CTD),C118956,137313644
362,53787102,Comparative Toxicogenomics Database (CTD),C006418,16130978
363,53787103,Comparative Toxicogenomics Database (CTD),D017275,3784
364,53787104,Comparative Toxicogenomics Database (CTD),C089032,104850
365,53787105,Comparative Toxicogenomics Database (CTD),D005905,3488
366,53787106,Comparative Toxicogenomics Database (CTD),C456800,3549
367,53787107,Comparative Toxicogenomics Database (CTD),D005031,2723650
368,53787108,Comparative Toxicogenomics Database (CTD),C006303,294641
369,53787109,Comparative Toxicogenomics Database (CTD),C082137,131601
370,53787110,Comparative Toxicogenomics Database (CTD),C011994,31645
371,53787111,Comparative Toxicogenomics Database (CTD),C065180,1548972
372,53787112,Comparative Toxicogenomics Database (CTD),D017705,443013
373,53787113,Comparative Toxicogenomics Database (CTD),C082748,854023
374,53787114,Comparative Toxicogenomics Database (CTD),D010972,108156
375,53787115,Comparative Toxicogenomics Database (CTD),C017674,107876
376,53787116,Comparative Toxicogenomics Database (CTD),C521703,11561366
377,53787117,Comparative Toxicogenomics Database (CTD),D010830,5983
378,53787118,Comparative Toxicogenomics Database (CTD),C040392,56841825
379,53787119,Comparative Toxicogenomics Database (CTD),D015025,5281576
380,53787120,Comparative Toxicogenomics Database (CTD),D003035,104730
381,53787121,Comparative Toxicogenomics Database (CTD),C118602,6433339
382,53787122,Comparative Toxicogenomics Database (CTD),C022571,440317
383,53787123,Comparative Toxicogenomics Database (CTD),C010395,91626
384,53787124,Comparative Toxicogenomics Database (CTD),C057354,16132429
385,53787125,Comparative Toxicogenomics Database (CTD),C045362,73665
386,53787126,Comparative Toxicogenomics Database (CTD),C033563,52919
387,53787127,Comparative Toxicogenomics Database (CTD),C022776,82145
388,53787128,Comparative Toxicogenomics Database (CTD),C015262,13192
389,53787129,Comparative Toxicogenomics Database (CTD),C027235,61635
390,53787130,Comparative Toxicogenomics Database (CTD),C058118,13730
391,53787131,Comparative Toxicogenomics Database (CTD),C118008,4661
392,53787132,Comparative Toxicogenomics Database (CTD),C033132,9033
393,53787133,Comparative Toxicogenomics Database (CTD),C503589,5280644
394,53787134,Comparative Toxicogenomics Database (CTD),C022960,321710
395,53787135,Comparative Toxicogenomics Database (CTD),C005277,736366
396,53787136,Comparative Toxicogenomics Database (CTD),C018038,236702
397,53787137,Comparative Toxicogenomics Database (CTD),D005229,
398,53787138,Comparative Toxicogenomics Database (CTD),C059180,135659029
399,53787139,Comparative Toxicogenomics Database (CTD),D017829,5284566
400,53787140,Comparative Toxicogenomics Database (CTD),C018855,16043
401,53787141,Comparative Toxicogenomics Database (CTD),D017693,516892
402,53787142,Comparative Toxicogenomics Database (CTD),D005641,5386
403,53787143,Comparative Toxicogenomics Database (CTD),C432591,269933
404,53787144,Comparative Toxicogenomics Database (CTD),C006552,5280863
405,53787145,Comparative Toxicogenomics Database (CTD),D005576,47936
406,53787146,Comparative Toxicogenomics Database (CTD),C088327,65015
407,53787147,Comparative Toxicogenomics Database (CTD),C022830,66414
408,53787148,Comparative Toxicogenomics Database (CTD),C119318,90488898
409,53787149,Comparative Toxicogenomics Database (CTD),C490191,
410,53787150,Comparative Toxicogenomics Database (CTD),D010628,9076
411,53787151,Comparative Toxicogenomics Database (CTD),C027971,9601227
412,53787152,Comparative Toxicogenomics Database (CTD),D004397,13676
413,53787153,Comparative Toxicogenomics Database (CTD),C010360,6328106
414,53787154,Comparative Toxicogenomics Database (CTD),C045573,6947
415,53787155,Comparative Toxicogenomics Database (CTD),C099406,135449286
416,53787156,Comparative Toxicogenomics Database (CTD),C005998,54678503
417,53787157,Comparative Toxicogenomics Database (CTD),D010129,978
418,53787158,Comparative Toxicogenomics Database (CTD),C033789,43226
419,53787159,Comparative Toxicogenomics Database (CTD),C003582,108106
420,53787160,Comparative Toxicogenomics Database (CTD),C402343,148201
421,53787161,Comparative Toxicogenomics Database (CTD),C403753,25108681
422,53787162,Comparative Toxicogenomics Database (CTD),C102563,127923
423,53787163,Comparative Toxicogenomics Database (CTD),C035476,8571
424,53787164,Comparative Toxicogenomics Database (CTD),C011890,3840
425,53787165,Comparative Toxicogenomics Database (CTD),D005999,12544
426,53787166,Comparative Toxicogenomics Database (CTD),D005912,6223
