name,count
tissue/sample type,209
library quality,208
blood_group,208
sampling_timepoint,208
bioreplicate id,207
stimulation condition,207
time post-stimulation,207
in vivo or in vitro,207
differentiation batch,207
hyb position on 8-plex array,207
hybridization batch,206
visit number,205
pair,205
cell types,205
developmental_stage,204
primary diagnosis,204
light condition,203
malaria strain,203
ild subtype,203
responder cell line,203
1 mouse or pool of 3 mice,203
knockout,203
diagnosis total,202
diagnosis splen flex,202
lauren classification,202
anatomic_location,202
followup total,202
followup splen flex,202
followup recto sigmoid,202
followup rectum,202
inflammation_status,202
diagnosis hep flex,202
aza at present,202
diagnosis recto sigmoid,202
diagnosis rectum,202
uc flare up,202
run_date,202
ucss,202
calprotectin,202
followup hep flex,202
days_symptom_onset,201
patient_visit,201
patient_age,201
pregnancy status,201
ajcc stage,201
olink_sample_id,201
anatomic location,201
lung pathology,200
muscle mass,200
radiation.therapy,200
log10 body mass index,200
log10 matsuda insulin sensitivity index,200
waist to hip ratio,200
log10 bioimpedance,200
per basophils,200
ageatsampling,200
overall.survival..days,200
reference genome_for_processed_files,200
fat mass,200
reference genome_for_alignment,200
tumor_entity_subtype,200
sampling time,199
patient sex,199
time_since_onset,198
primed,198
library,198
grey/whitematter,198
treatment protocol,197
brain location,197
experimental replicate,196
cancertype,196
nf1,196
designphase,196
self_reported_race,195
cell line of origin,195
patient code,195
plate_number,195
cirrhosis present,195
chronic hypertension,194
evlp type,194
clinical spectrum nih classification,194
ga,194
growth medium,193
number of relapses,192
pasi75resp,192
Gleason Grade,192
microbiota status,192
survival after surgery,192
sputum_culture,191
cdna prep,191
case/control,191
region of birth,191
sputum_smear,191
biopsy type,190
day post treament,190
death with metastasis,189
infection_status,189
vaccination route,188
outcome related,188
couple number,188
chr10q_loss,188
sars cov2_hx,188
growth,187
rna sample id,187
bacterium,186
hours,186
period,186
infected/uninfected,186
sequencing run,186
buffer,186
extraction date,185
draw_date,185
comment,184
patient subgroup,184
LabeledExtract,183
patient number,183
wga,182
rip antibody,182
hybridization protocol,182
antibody manufacturer,182
dna sample,182
stimulation time and condition,182
cell source,181
pfs_status,181
neoplasia type,181
study id,181
day post hct,181
mgmtstatus,181
symptom severity,180
Histopathological diagnostic,180
viral shedding,180
sample tissue,179
tst result,179
fetal sex,179
tissue/cell line,179
ntd status,179
uhdrs tfc,178
uhdrs tms,178
symptomatic,178
age at year 1,178
egfr,178
expanded allele cag repeat count,178
paired microarray,177
factor,177
age at_diagnosis,177
dev stage,177
paired material support,177
ffpe quality,177
lineage,176
molecular subtype,176
mtb_strain,176
mgmt,174
day of differentiation,174
input,174
sample_id,173
biosample encode accession,173
atcc id,172
diagnosis rectal,172
followup anal perianal,172
diagnosis colonic,172
hours post-invasion,172
diagnosis details,172
followup vienna classific,172
behavior at followup,172
diagnosis stricture fistu,172
Cause of death,172
treatment response,172
ocp,172
diagnosis anal perianal,172
diagnosis vienna classifi,172
harvey bradshaw,172
sars-cov-2 infection,172
further operations,172
stoma ileal,172
followup rectal,172
followup ileal,172
followup colonic,172
diagnosis oral,172
cdai,172
diagnosis ileal,172
followup oral,172
smoking,171
volunteer,171
diseaselocation,170
living,170
survival time,170
tumorgrading,170
hc_85_samples,170
survival cluster,170
preparation,169
differentiation,169
disease_state,169
vaccine group,168
genotype huntington,168
h37rv genotype,168
ancestry,168
enzymatic treatment,168
subset,168
days since covid-19 diagnosis,168
0 = no,168
harmonized disease score,168
timepoint_postchallenge,168
overall.survival.months,168
donorid,168
long-covid symptoms,168
duration of illness,168
deceased paired biopsies,168
log grans_nx,167
log mtb_cfu,167
de-identified donor,167
grans nx,167
pitt id,167
total mtb_cfu,167
dose group,167
timeafterbcg,167
bcg dose_log10,167
protect outcome,167
mahpic non human primate individual id,166
tssue,166
tma,166
hypertension,165
symptomatic or asymtomatic at sample collection,165
qpcr screening for plasmodium,165
efficacy,164
lentiviral transduction,164
days post drug,164
relative sox9_level,163
pre-eclampsia,163
tnm stage,163
biorep,163
collection time point (#) or necropsy,162
